חותמת זמן,מה הגיל שלך?,מה המגדר שלך ?,האם אתם מבלים את זמנכם ברשתות חברתיות ?,באיזה רשת חברתית את מבלים את עיקר זמנכם ? ,האם נחשפת לפרסומות ו/או קישורים ן/או סרטונים של ידוענים הקשורים לקנייה אונליין ברשתות החברתיות ?,"במידה וכן, באיזו תדירות אתה נכנס אליהם ?","במידה וכן, באיזו תדירות אתם מבצעים קנייה הנובעת מן הקישור/פרסומת ?","בערך, עבור כל קנייה כזאת מה הסכום שיוצא על המוצר ?","אם באפשרותך להעביר הלאה את הקישור/הפרסומת בכדי שגם אחרים יוכלו לקנות, היית עושה זאת ?"
5/9/2022 16:36:20,19,זכר,"כן, מדי פעם","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,120,לא
5/9/2022 19:10:00,19,זכר,"כן, לעיתים קרובות",פייסבוק,כן,לעיתים רחוקות,לעיתים רחוקות,250,לא
5/9/2022 17:44:16,22,נקבה,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,150,כן
5/9/2022 17:55:33,23,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,50,לא
5/9/2022 15:20:56,24,זכר,"כן, לעיתים קרובות",אינסטגרם,כן,לעיתים רחוקות,לעיתים רחוקות,50,כן
5/9/2022 15:32:19,24,זכר,"כן, מדי פעם","וואטסאפ, פייסבוק",כן,לעיתים רחוקות,לעיתים רחוקות,50,לא
5/9/2022 15:42:04,25,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק",כן,לעיתים רחוקות,לעיתים רחוקות,100,לא
5/9/2022 15:53:16,25,זכר,"כן, מדי פעם","וואטסאפ, פייסבוק, טלגרם",כן,לעיתים רחוקות,לעיתים רחוקות,10,כן
5/9/2022 16:47:21,38,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם, טוויטר",כן,לעיתים רחוקות,לעיתים רחוקות,50,לא
5/9/2022 16:50:36,51,נקבה,"כן, לעיתים קרובות","פייסבוק, אינסטגרם",כן,לעיתים רחוקות,לעיתים רחוקות,200,לא
5/9/2022 15:09:00,17,נקבה,"כן, תמיד","וואטסאפ, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,50,כן
5/9/2022 15:23:26,17,זכר,"כן, תמיד","וואטסאפ, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,100,כן
5/9/2022 15:21:14,18,נקבה,"כן, תמיד","וואטסאפ, אינסטגרם, טיקטוק",כן,מדי פעם,לעיתים רחוקות,60,לא
5/9/2022 16:05:34,18,זכר,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,50,כן
5/9/2022 15:53:19,19,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם, טיקטוק",כן,מדי פעם,לעיתים רחוקות,100,לא
5/9/2022 16:04:23,19,נקבה,"כן, תמיד","וואטסאפ, אינסטגרם, טיקטוק",כן,מדי פעם,לעיתים רחוקות,250₪,כן
5/9/2022 16:56:16,19,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,200,כן
5/9/2022 21:51:53,19,זכר,"כן, לעיתים קרובות",אינסטגרם,כן,מדי פעם,לעיתים רחוקות,150,לא
5/11/2022 21:19:12,22,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,100,לא
5/9/2022 15:16:22,24,זכר,"כן, תמיד",אינסטגרם,כן,מדי פעם,לעיתים רחוקות,300,לא
5/9/2022 15:14:29,25,נקבה,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,100,לא
5/9/2022 15:14:38,25,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק",לא,מדי פעם,לעיתים רחוקות,150,לא
5/9/2022 17:36:35,42,נקבה,"כן, תמיד","וואטסאפ, פייסבוק",כן,מדי פעם,לעיתים רחוקות,100,כן
5/9/2022 15:09:02,45,זכר,"כן, תמיד","וואטסאפ, אינסטגרם",כן,מדי פעם,לעיתים רחוקות,150,לא
5/9/2022 15:16:56,45,נקבה,"כן, לעיתים קרובות","וואטסאפ, פייסבוק",כן,מדי פעם,לעיתים רחוקות,100,כן
5/9/2022 15:37:28,18,נקבה,"כן, לעיתים קרובות","וואטסאפ, אינסטגרם",כן,תמיד,לעיתים רחוקות,100,לא
5/9/2022 15:17:49,21,נקבה,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,תמיד,לעיתים רחוקות,130,כן
5/9/2022 17:48:24,27,זכר,"כן, לעיתים קרובות","וואטסאפ, פייסבוק, טוויטר",כן,תמיד,לעיתים רחוקות,100,לא
5/9/2022 15:29:38,25,זכר,"כן, תמיד","וואטסאפ, פייסבוק, אינסטגרם",כן,לא נכנס אף פעם,מדי פעם,30,לא
5/9/2022 15:46:10,18,נקבה,"כן, תמיד",טיקטוק פדיחות,כן,לעיתים רחוקות,מדי פעם,500,כן
5/9/2022 15:32:07,19,נקבה,"כן, תמיד","וואטסאפ, אינסטגרם",כן,לעיתים רחוקות,מדי פעם,50,לא
5/9/2022 15:26:12,16,זכר,"כן, תמיד",תיקתוק,כן,לא נכנס אף פעם,אף פעם לא,0,לא
